Date,Underlying1,Underlying2,Underlying3,Underlying4,Underlying5,Underlying6
24-Dec-20,191.8342519,266.3535018,791.1318443,20.73495935,19180.98753,1331.621092
28-Dec-20,192.4447392,266.6776475,791.524427,26.11522616,19238.75949,1333.036178
29-Dec-20,193.3200451,266.3352484,795.6258008,29.73386672,19324.71132,1331.465722
30-Dec-20,193.1935267,266.0037278,801.4055831,70.23701195,19315.20929,1329.980202
31-Dec-20,192.9992116,265.4312042,801.4191703,16.90721495,19297.5561,1326.926672
04-Jan-21,191.0277398,266.227513,809.5874026,9.910765328,19100.55594,1331.033856
05-Jan-21,191.9054693,265.7666745,826.6569503,11.82673509,19187.13699,1328.49734
06-Jan-21,193.3075836,265.6485357,831.4062945,74.12899523,19325.48907,1328.200029
07-Jan-21,193.1115134,266.0595465,831.0873726,40.65141792,19305.45006,1330.159775
08-Jan-21,196.3325644,266.0907576,830.0047106,11.45718345,19626.11568,1330.398947
11-Jan-21,195.6661194,266.3426545,820.1841242,35.27759898,19558.92609,1331.441823
12-Jan-21,196.7066403,266.0193285,841.1012368,66.10765515,19663.85391,1330.05009
13-Jan-21,196.3903959,266.5302687,845.1103142,37.21438488,19637.20868,1332.453567
14-Jan-21,197.1784506,266.4500379,863.1499539,76.41090627,19712.36024,1332.210892
15-Jan-21,197.3068637,266.5633485,854.0783097,8.969728237,19729.35825,1332.59447
19-Jan-21,197.3597112,266.578273,850.3135306,3.24359203,19730.02183,1332.750543
20-Jan-21,196.2209973,266.3912596,849.4536954,44.37990594,19612.78205,1331.685383
21-Jan-21,196.1365837,266.6897603,851.6957868,29.22833797,19609.83019,1333.302042
22-Jan-21,194.6125911,266.7250259,828.3925495,13.01446593,19459.2138,1333.456994
25-Jan-21,194.936576,266.2765198,839.1650761,16.39703274,19492.06982,1331.040374
26-Jan-21,195.6184734,265.9002314,851.180904,36.6219211,19561.77957,1329.01168
27-Jan-21,195.6601655,265.4131286,847.5722473,36.66172573,19560.88135,1327.010702
28-Jan-21,195.2035105,265.2213009,840.5322042,12.29997437,19518.30704,1325.974695
29-Jan-21,195.462547,265.3083747,846.014678,36.54067807,19540.3424,1326.189421
01-Feb-21,194.3384044,264.4826969,852.4130555,77.73000072,19433.59667,1322.338356
02-Feb-21,195.9793425,264.47307,847.5905549,3.734269553,19591.60198,1322.016709
03-Feb-21,196.410563,264.5096627,855.4484731,29.37719886,19632.51457,1322.059258
04-Feb-21,196.9083278,264.0582507,854.3543113,19.65047129,19688.39318,1320.298688
05-Feb-21,196.5003426,264.5998186,860.9899292,7.863428447,19646.50549,1322.875826
08-Feb-21,196.9689342,264.5251654,873.1295474,64.03352635,19690.55939,1322.509856
09-Feb-21,197.2571578,264.6700688,875.8952396,32.15942716,19719.49292,1323.121771
10-Feb-21,196.4981535,264.6717709,869.9788829,74.2219255,19645.12483,1323.263264
11-Feb-21,196.8825641,264.6219707,870.6464505,80.94479372,19684.45999,1323.14296
12-Feb-21,196.8764064,264.4118096,876.9359358,33.96679977,19681.76056,1322.045183
16-Feb-21,197.6090054,263.8920862,892.6766275,25.43472197,19752.60382,1319.516087
17-Feb-21,197.8461382,264.1433878,894.8468387,77.81213287,19782.87058,1320.327945
18-Feb-21,197.8623019,263.989589,901.378674,72.02434794,19776.40871,1319.784208
19-Feb-21,197.8858142,264.2279976,910.3067556,58.71166367,19788.24138,1320.976408
22-Feb-21,198.5435171,264.374743,932.5224945,76.0362009,19853.60531,1321.500732
23-Feb-21,199.4428308,264.3880196,935.0893289,79.40559237,19935.61493,1321.93081
24-Feb-21,200.9288787,264.2213003,962.5034161,68.17420941,20083.01578,1321.086438
25-Feb-21,201.022315,264.5033387,953.2852207,20.75393098,20097.69289,1322.167007
26-Feb-21,201.3302746,264.6012411,908.6014604,44.46569456,20125.94258,1322.847596
01-Mar-21,200.7253357,265.0074609,892.6667347,81.13061443,20071.42875,1325.047733
02-Mar-21,200.3429878,264.9877959,904.5148727,51.50012302,20025.82462,1324.520644
03-Mar-21,202.0398345,265.095118,894.7857552,87.41589821,20197.0463,1324.989464
